comp,job,location,range,req_location,salary
Workplace Alaska,Wildlife Scientist II,"Juneau, AK",D,AK,85976.0
Workplace Alaska,Research Analyst II,"Juneau, AK",E,AK,47905.0
Workplace Alaska,Health Facilities Surveyor I,"Anchorage, AK",E,AK,60148.0
North Wind Site Services,Environmental Scientist,"Anchorage, AK",E,AK,
San Jose/Evergreen Community College District,RESEARCH ANALYST,"College, AK",E,AK,
Banner Health,Medical Lab Scientist (MLS),"Fairbanks, AK",E,AK,
Bristol Alliance of Companies,Environmental Scientist,"Anchorage, AK",E,AK,
Bristol Companies,Environmental Scientist,"Anchorage, AK",E,AK,
Jacobs,Environmental Scientist,"Fairbanks, AK",E,AK,
Raytheon,"Modeling, Simulation & Analysis - Systems Engineer I","Huntsville, AL 35806",C,AL,
Reliant Technologies,Data Scientist,"Huntsville, AL",C,AL,
"Sentar, Inc.",Machine Learning and Data Scientist,"Huntsville, AL 35805",C,AL,
Idex Corporation,Data Scientist,"Huntsville, AL",C,AL,
Southern Research Institute,Research Engineer (Energy and Environment),"Birmingham, AL 35205",C,AL,
The Aerospace Corporation,Senior Technical Intelligence Analyst,"Huntsville, AL 35806",C,AL,
BOEING,Systems Engineer - Modeling & Simulation for Applied Research,"Huntsville, AL",C,AL,
Leidos,Optimization/Machine Learning Programmer,"Huntsville, AL 35802",C,AL,
"Modern Technology Solutions, Inc. (MTSI)",Engineer/Scientist - Army Aviation Program,"Huntsville, AL",C,AL,
BOEING,Systems Engineer - Ground Test Planning Engineer,"Huntsville, AL",C,AL,
RBW Consulting,Senior Principal Statistical Programmer ~ Biopharmaceutical Company,Alabama,C,AL,
RBW Consulting,"Statistical Programming Manager ~ Fully Home Based, USA",Alabama,C,AL,
RBW Consulting,Principal Statistician ~ Pharmaceutical Company,Alabama,C,AL,
"Geocent, LLC.",Software Test Engineer,"Huntsville, AL 35816",C,AL,
RBW Consulting,"Senior Statistical SAS Programmer ~ Home based, USA",Alabama,C,AL,
BOEING,Software Engineer,"Huntsville, AL",C,AL,
RBW Consulting,Principal Statistician ~ Top-Pharma,Alabama,C,AL,
Wayne Farms LLC,"Manager, Process Improvement - Prepared Foods","Decatur, AL",C,AL,
"BioGX, Inc.",Senior Scientist,"Birmingham, AL 35203",D,AL,
Regions Bank,BSA AML OFAC Quantitative Modeling Analyst,"Birmingham, AL",D,AL,
"CADENCE BANK, N.A.",Quantitative Models Analyst,"Birmingham, AL 35226",D,AL,
Regions Bank,Risk Quantitative Model Validation Analyst,"Birmingham, AL",D,AL,
Jacobs,Thrust Vector Controls Engineer,"Huntsville, AL",D,AL,
Teledyne Brown Engineering,Quality Statistician and CMMI Metrics Analyst/Specialist,"Huntsville, AL 35805",D,AL,
Jacobs,Software Test Engineer,"Huntsville, AL",D,AL,
Southern Research Institute,Post-Doctoral Engineer - Renewable Energy,"Birmingham, AL 35205",D,AL,
Bevilacqua Research Corporation,Senior Software Test Analyst,"Huntsville, AL",D,AL,
ASRC Federal,Systems Analyst Assoc. | ESTA1,"Redstone Arsenal, AL",D,AL,
ITAC Solutions,Quantitative Fraud Analyst,"Birmingham, AL",D,AL,
Jacobs,Senior Software Test Analyst,"Huntsville, AL",D,AL,
"TriVector Services, Inc.",Sr. Software Test Engineer,"Huntsville, AL 35801",D,AL,
Qualis Corporation,Software Test Engineer,"Huntsville, AL",D,AL,
BOEING,Electrical Part Standards Engineer,"Huntsville, AL",D,AL,
"AVNIK Defense Solutions, Inc.",Prognostic Health Management (PHM) / Sr. Signal Processing Expert / Engineer / Computer Scientist - US Citizenship Required,"Huntsville, AL",D,AL,
"Geocent, LLC.",Sr. Systems Software Test Engineer,"Huntsville, AL 35816",D,AL,
BOEING,Project Management Specialist - Mid Career Level,"Huntsville, AL",D,AL,
SunGard,Statistician,"Birmingham, AL",E,AL,
Southern Research Institute,Bioanalytical Research Scientist,"Birmingham, AL 35205",E,AL,
San Diego Generic Pharmaceuticals,"Analytical Scientist, Method Dev (SAN DIEGO)","Huntsville, AL",E,AL,
General Dynamics Information Technology,"Principal Analyst, Data","Huntsville, AL",E,AL,
CSRA,Entry Level Operations Research Analysts (Cost Estimator/Analyst),"Huntsville, AL",E,AL,
"Gleason Research Associates, Inc.",Modelling and Simulation Computer Scientist,"Huntsville, AL 35805",E,AL,72800.0
RBW Consulting,Contract Statistical Programmer ~ Top-Pharma ~ New Jersey,Alabama,E,AL,
Southern Research Institute,Post-Doctoral Researchers (Energy & Environment),"Birmingham, AL 35205",E,AL,
CFD Research Corporation,"Research Scientist, Computational Physiology and Pharmacology","Huntsville, AL 35805",E,AL,
UDA Technologies,Market Research Analyst,"Auburn, AL 36830",E,AL,
Wind Creek Hospitality,Gaming Data Integrity Analyst,"Atmore, AL",E,AL,
"Environmental Business Specialists, LLC",Technical Wastewater Client Services Specialist,"Birmingham, AL",E,AL,
Caelum Research Corporation,Data Analysis Technician IV,"Huntsville, AL",E,AL,
Teledyne Brown Engineering,Operations Research Analyst,"Huntsville, AL 35805",E,AL,
Evonik,Scientist Medical Devices (Orthopaedic/3D-Printing),"Birmingham, AL 35211",E,AL,
BOEING,Manufacturing Engineering Manager,"Huntsville, AL",E,AL,
"The AEgis Technologies Group, Inc.",Hardware-in-the-Loop Systems Analyst,"Huntsville, AL 35806",E,AL,
Jacobs,Imagery Systems Engineer,"Huntsville, AL",E,AL,
Southern Research Institute,Research Biologist (Immunoassay Methods),"Birmingham, AL 35205",E,AL,
"Gresham, Smith and Partners.","Transportation Engineer Intern | Birmingham, AL","Birmingham, AL 35243",E,AL,
CSRA,Intermediate Operations Research Analyst (Cost Estimator),"Huntsville, AL",E,AL,
Booz Allen Hamilton,"Defense Research Analyst, Mid","Huntsville, AL",E,AL,
IBERIABANK,Financial Analyst - Quantitative Analyst (Administrative BR (001) INVSTR),"Birmingham, AL",E,AL,
Nektar,Associate Scientist,"Huntsville, AL",E,AL,
IFDC- International Fertilizer Development,SOIL SCIENTIST – SOIL CHEMISTRY,"Muscle Shoals, AL",E,AL,
Altec Industries,Market Research Analyst,"Birmingham, AL 35242",F,AL,
"BioGX, Inc.",Scientist,"Birmingham, AL 35203",F,AL,
BOEING,System Integration Inspector (Senior),"Huntsville, AL",F,AL,
Southeastern Pediatric Associates,Experienced Clinical Research Coordinator,"Dothan, AL",F,AL,
Jacobs,ESSSA Intern,"Huntsville, AL",F,AL,
HudsonAlpha Institute for Biotechnology,HudsonAlpha - Research Associate I - S. Cooper Lab,"Huntsville, AL 35806",F,AL,
ASRC Federal,Systems Analyst Staff | ESTA2,"Redstone Arsenal, AL",F,AL,
University of South Alabama,Medical Technologist,"Mobile, AL 36688 (Westhill area)",F,AL,
StrategyWise,Engagement Manager - Birmingham,"Birmingham, AL",F,AL,
Mastech,Software Engineer (Science Systems),"Tuscaloosa, AL 35401",F,AL,
"PPT Solutions, Inc.",Senior Systems Software Test Engineer,"Huntsville, AL 35816",F,AL,
RBW Consulting,Lead Statistician ~ Early Phase,Alabama,F,AL,
BOEING,Mechanical Part Standards Engineer,"Huntsville, AL",F,AL,
"Geocent, LLC.",Senior Software Test Analyst,"Huntsville, AL 35816",F,AL,
Jacobs,GN&C Senior Navigation Engineer,"Huntsville, AL",F,AL,
Jacobs,Sr. Systems Software Test Engineer,"Huntsville, AL",F,AL,
CSRA,Senior Operations Research Analyst (Cost Estimator),"Huntsville, AL",F,AL,
RBW Consulting,"Senior Manager, Statistical Programming ~ Biopharmaceutical Company",Alabama,F,AL,
Intuitive Research and Technology Corporation,"Microelectronics Engineer - Huntsville, AL","Huntsville, AL 35805",F,AL,
University of South Alabama,Medical Technologist Supervisor,"Mobile, AL 36688 (Westhill area)",F,AL,
Dillards,Dillard's Business Intelligence Data Scientist,"Little Rock, AR 72201 (Downtown area)",C,AR,
Beaver Water District,Chief Scientist/Environmental Quality Manager,"Lowell, AR",C,AR,
Booz Allen Hamilton,Data Science Analyst,"Stuttgart, AR",D,AR,
Walmart,Associate Data Scientist-ISD,"Bentonville, AR 72712",D,AR,
Walmart,Associate Data Scientist - Cybersecurity,"Bentonville, AR 72712",D,AR,
Walmart,Data Scientist-ISD,"Bentonville, AR 72712",D,AR,
Walmart,Sr. Statistical Analyst (Data Analytics),"Bentonville, AR 72712",D,AR,
Walmart,Senior Data Scientist-ISD,"Bentonville, AR 72712",D,AR,
Walmart,Statistical Analyst (Data Analytics),"Bentonville, AR 72712",D,AR,
Walmart,Associate Data Scientist,"Bentonville, AR 72712",D,AR,
Booz Allen Hamilton,Social Scientist,"Stuttgart, AR",D,AR,
BBA Solutions,Business Intelligence Data Scientist Intern,"Little Rock, AR 72206",E,AR,
Walmart,2017 Full Time: Statistical Analyst - EIM,"Bentonville, AR 72712",F,AR,
RangTech,Data Scientist,"Texarkana, AR",F,AR,
Now Diagnostics,Product Development Scientist,"Springdale, AR 72764",F,AR,
Arkansas Foundation for Medical Care,Statistician II,"Little Rock, AR 72201 (Downtown area)",F,AR,
MONSANTO,Research Associate,"Stuttgart, AR",F,AR,
